Report,Critical,High,Medium,Low,CPEs,Test
PSY408-04_2025-06-07_14-12-02,24,229,99,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
FSF101-010-0423_2025-06-07_13-46-05,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
FSF101-015-0423_2025-05-31_14-37-07,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY426-014_2025-06-07_15-47-44,10,46,39,4,"7-zip, microsoft:webp_image, r:r_for_windows, winrar, , ",
PSY418-0001-092_2025-06-07_15-13-48,254,415,219,18,"git, google:chrome, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, r:r_for_windows, tortoisegit:tortoisegit, , , ",
law122-000005,79,268,83,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:powerpoint:2013, microsoft:webp_image, microsoft:word:2013, , ",
DESKTOP-2O1TSN9_2025-05-31_16-00-26,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY408-10_2025-06-07_14-10-48,24,229,99,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
law122-000015,88,296,97,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
PSY418-002_2025-06-07_15-12-47,12,195,54,3,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY422-0001_2025-06-07_14-42-27,22,227,76,8,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, r:r_for_windows, tortoisegit:tortoisegit, , ",
FSF310-0005_2025-06-07_13-14-17,72,296,231,6,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
PSY426-013_2025-06-07_15-48-52,49,281,141,11,"7-zip, gimp, git, libreoffice, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:visual_studio_code:system_installer, microsoft:webp_image, microsoft:word:2013, pypi:pip, r:r_for_windows, winrar, , , ",
LAW004-009_2025-06-14_11-51-20,95,310,106,16,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , ",
LAW110-002_2025-06-02_12-58-34,18,218,95,6,"7-zip, microsoft:3d_builder, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, zoom:zoom:individual_users_install, , ",
PSY023-004_2025-06-14_08-13-03,31,222,88,4,"microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
law120-009,18,207,68,3,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
PSY416-001_2025-06-07_14-37-05,88,297,98,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
LAW004-010_2025-06-14_11-52-49,95,310,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , ",
LAW208-001_2025-06-02_13-22-05,258,601,377,18,"7-zip, adobe:flash_player, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, zoom:zoom:individual_users_install, , ",
PSY426-002_2025-06-07_15-36-20,46,74,55,4,"7-zip, inkscape:inkscape, microsoft:webp_image, mozilla:firefox, r:r_for_windows, videolan:vlc_media_player, , ",
PSY422-002_2025-06-07_15-07-30,689,880,775,51,"foxit:reader, microsoft:.net_framework:4.8, microsoft:3d_viewer, microsoft:edge, microsoft:excel:2013, microsoft:heif_image_extensions, microsoft:microsoft_photos, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:vp9_video_extensions, microsoft:web_media_video_extensions, microsoft:webp_image, microsoft:word:2013, , , ",
law120-008,12,199,54,2,"microsoft:3d_builder, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
law108-001,19,210,59,2,"7-zip, adobe:acrobat_dc:::continuous, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, winrar, , ",
PSY408-07_2025-06-07_14-02-04,151,342,195,11,"git, microsoft:.net_framework:4.8, microsoft:edge, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , , ",
fsf101-008-0423,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
FSF313-002_2025-06-07_12-45-22,88,296,97,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
FSF307-000005_2025-05-28_14-05-43,127,352,295,9,"microsoft:.net_framework:4.8.1, microsoft:edge, microsoft:excel:2010, microsoft:heif_image_extensions, microsoft:microsoft_photos, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
PSY426-015_2025-06-07_15-20-48,19,44,32,3,"7-zip, microsoft:webp_image, mozilla:firefox, r:r_for_windows, , , ",
LAW004-002_2025-06-14_12-04-03,95,310,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , ",
LAW219-002_2025-06-02_14-06-15,8,21,17,1,"7-zip, microsoft:webp_image, , , ",
FSF101-004-0423_2025-06-07_13-44-46,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY426-010_2025-06-07_15-32-23,43,269,127,10,"7-zip, gimp, git, libreoffice, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:visual_studio_code:system_installer, microsoft:webp_image, microsoft:word:2013, pypi:pip, r:r_for_windows, winrar, , ",
LAW203-001_2025-06-02_12-43-14,257,588,350,17,"7-zip, adobe:flash_player, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, , ",
FSF101-011-0423_2025-05-31_14-41-32,112,323,249,9,"7-zip, microsoft:.net_framework:4.8.1, microsoft:edge, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:word:2010, microsoft:word:2010:sp1, , , ",
FSF307-000002_2025-05-28_14-11-54,12,195,56,2,"microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY405-001-0323_2025-06-07_13-29-25,291,503,386,22,"7-zip, git, google:chrome, microsoft:.net_framework:4.8.1, microsoft:edge, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, r:r_for_windows, tortoisegit:tortoisegit, , , ",
LAW122-000007_2025-05-24_13-05-27,79,268,83,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:powerpoint:2013, microsoft:webp_image, microsoft:word:2013, , ",
FSF101-012-0423_2025-05-31_14-40-33,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
law122-000013,88,296,97,14,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, , ",
PSY417-001-0523_2025-06-07_14-42-40,55,265,99,9,"7-zip, git, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2005, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, r:r_for_windows, tortoisegit:tortoisegit, , ",
FSF311-001_2025-06-02_13-56-36,258,598,362,17,"7-zip, adobe:flash_player, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, , ",
FSF101-013-0423_2025-05-31_14-40-07,13,201,56,4,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
LAW122-000004_2025-05-24_13-13-44,93,304,132,15,"foxit:reader, microsoft:edge, microsoft:excel:2013, microsoft:office:2013, microsoft:powerpoint:2013, microsoft:webp_image, microsoft:word:2013, , , ",
FSF101-009-0423_2025-05-31_14-33-46,13,201,56,5,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
LAW004-012_2025-06-14_11-54-49,95,310,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , ",
FSF303-003_2025-06-07_12-10-17,257,600,369,20,"7-zip, adobe:flash_player, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, , ",
LAW219-003_2025-06-02_13-55-06,36,225,88,4,"microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:visual_c++:2008, microsoft:webp_image, microsoft:word:2013, winrar, , ",
law122-000014,265,654,475,30,"7-zip, adobe:acrobat_dc:::continuous, google:pepper_flash, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, , , ",
LAW004-007_2025-06-14_11-47-12,95,310,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , ",
FSF310-0006_2025-06-07_08-48-48,12,199,55,2,"7-zip, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, , ",
PSY408-11_2025-06-07_14-14-00,24,229,99,6,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:onenote:2010, microsoft:outlook:2010, microsoft:powerpoint:2010, microsoft:publisher:2010, microsoft:webp_image, microsoft:word:2010, r:r_for_windows, tortoisegit:tortoisegit, , ",
LAW004-004_2025-06-14_11-58-08,95,310,106,15,"foxit:reader, microsoft:excel:2013, microsoft:office:2013, microsoft:onenote:2013, microsoft:outlook:2013, microsoft:paint_3d, microsoft:powerpoint:2013, microsoft:publisher:2013, microsoft:webp_image, microsoft:word:2013, oracle:jre:1.8.0, , ",
PSY411-006_2025-06-07_13-47-41,108,339,162,12,"git, microsoft:excel:2010, microsoft:office:2010, microsoft:office:2010:sp1, microsoft:powerpoint:2010, microsoft:visual_c++:2005, microsoft:webp_image, microsoft:word:2010, microsoft:word:2010:sp1, mozilla:firefox, r:r_for_windows, tortoisegit:tortoisegit, , ",
